equivalence,1,MOOC2027,MR100002
equivalence,1,MOOC2027,ZMR10002
equivalence,1,MOOC2027,01211819
equivalence,1,MOOC2027,01211847
equivalence,1,MOOC2027,01211864
equivalence,1,MOOC2027,01221841
equivalence,1,MOOC2027,01221842
equivalence,1,MOOC2027,04241150
equivalence,1,MOOC2027,04272005
equivalence,1,MOOC2027,MOOC2077
equivalence,1,MOOC2027,MY100007
equivalence,1,MOOC2027,TY000013
equivalence,1,MOOC2027,ZMY10007
equivalence,1,MOOC2027,ZTY00013
equivalence,1,MOOC2027,04231186
equivalence,1,MOOC2027,04231240
equivalence,1,MOOC2027,01211863
equivalence,1,MOOC2027,01221828
